33580,40922,51200,67200,83200,99200,115200,131200,147200,163200,179200,195200,211200,227200,243200,259200,275200,291200,307200
42964,50306,57648,64990,76800,92800,108800,124800,140800,156800,172800,188800,204800,220800,236800,252800,268800,284800,300800
52348,59690,67032,74374,81716,89058,102400,118400,134400,150400,166400,182400,198400,214400,230400,246400,262400,278400,294400
61732,69074,76416,83758,91100,98442,105784,113126,128000,144000,160000,176000,192000,208000,224000,240000,256000,272000,288000
71116,78458,85800,93142,100484,107826,115168,122510,129852,137600,153600,169600,185600,201600,217600,233600,249600,265600,281600
80500,87842,95184,102526,109868,117210,124552,131894,139236,146578,153920,163200,179200,195200,211200,227200,243200,259200,275200
89884,97226,104568,111910,119252,126594,133936,141278,148620,155962,163304,170646,177988,188800,204800,220800,236800,252800,268800
99268,106610,113952,121294,128636,135978,143320,150662,158004,165346,172688,180030,187372,194714,202056,214400,230400,246400,262400
108652,115994,123336,130678,138020,145362,152704,160046,167388,174730,182072,189414,196756,204098,211440,218782,226124,240000,256000
118036,125378,132720,140062,147404,154746,162088,169430,176772,184114,191456,198798,206140,213482,220824,228166,235508,242850,250192
127420,134762,142104,149446,156788,164130,171472,178814,186156,193498,200840,208182,215524,222866,230208,237550,244892,252234,259576
136804,144146,151488,158830,166172,173514,180856,188198,195540,202882,210224,217566,224908,232250,239592,246934,254276,261618,268960
146188,153530,160872,168214,175556,182898,190240,197582,204924,212266,219608,226950,234292,241634,248976,256318,263660,271002,278344
155572,162914,170256,177598,184940,192282,199624,206966,214308,221650,228992,236334,243676,251018,258360,265702,273044,280386,287728
164956,172298,179640,186982,194324,201666,209008,216350,223692,231034,238376,245718,253060,260402,267744,275086,282428,289770,297112
174340,181682,189024,196366,203708,211050,218392,225734,233076,240418,247760,255102,262444,269786,277128,284470,291812,299154,306496
183724,191066,198408,205750,213092,220434,227776,235118,242460,249802,257144,264486,271828,279170,286512,293854,301196,308538,315880
193108,200450,207792,215134,222476,229818,237160,244502,251844,259186,266528,273870,281212,288554,295896,303238,310580,317922,325264
202492,209834,217176,224518,231860,239202,246544,253886,261228,268570,275912,283254,290596,297938,305280,312622,319964,327306,334648
